//Index	MapNumber	MaxLife	DamageMin	DamageMax	Defense	AttackRate	DefenseRate	ExperienceRate	KillMessage	InfoMessage	RewardValue1	RewardValue2	Comment
22	57	76923	6250	6364	11852	7273	7407	5000	*	*	0	0	//Ice Monster
22	58	76923	10000	10182	14815	7273	7407	5000	*	*	0	0	//Ice Monster
24	57	83333	6667	8750	12800	8000	8000	5000	*	*	0	0	//Worm
24	58	83333	10667	14000	16000	8000	8000	5000	*	*	0	0	//Worm
12	37	8000	1111	1077	1935	1280	1452	5000	*	*	0	0	//Larva
53	58	8000	15385	17949	2000	18182	195	3000	*	*	0	0	//Golden Titan
455	58	200	200	201	200	200	200	100	*	*	0	0	//Giant Mammoth
456	58	200	200	200	200	200	200	100	*	*	0	0	//Ice Giant
457	58	200	200	200	200	200	200	100	*	*	0	0	//Coolutin
458	58	200	200	200	200	200	200	100	*	*	0	0	//Iron Knight
101	58	100	136364	161538	100	25000	100	100	*	*	0	0	//Iron Trap
103	58	100	20000	23579	100	12444	100	100	*	*	0	0	//Meteorite
158	58	10000000	100	100	100	100	100	100	*	*	0	0	//Kalima Gate
55	58	4000	26667	23333	40000	35714	66667	100	*	*	0	0	//Death King
end													
