0
//AlarmTime   StandTime   EventTime   CloseTime
5             1           20          4         
end

1
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     1      0       0
*        *       *     *     3      0       0
*        *       *     *     5      0       0
*        *       *     *     7      0       0
*        *       *     *     9      0       0
*        *       *     *     11     0       0
*        *       *     *     13     0       0
*        *       *     *     15     0       0
*        *       *     *     17     0       0
*        *       *     *     19     0       0
*        *       *     *     21     0       0
*        *       *     *     23     0       0
end

2
//Level   RewardExperience1   RewardExperience2   RewardExperience3   RewardExperience4   RewardExperience5   RewardExperience6   RewardExperience7   RewardExperience8          RewardExperience9   RewardExperience10
0          100000              100000               100000               100000                100000              100000                100000               100000                    100000               100000
1          200000              200000               200000               200000                200000              200000                200000               200000                    200000               200000
2          300000              300000               300000               300000                300000              300000                300000               300000                    300000               400000
3          400000              400000               400000               400000                400000              400000                400000               400000                    400000               600000
4          500000              500000               400000               500000                500000              500000                500000               500000                    500000               800000
5          900000              900000               900000               900000                900000              900000                900000               900000                    900000               3000000
6          3000000             3000000             3000000               3000000               3000000             3000000               3000000              3000000                   3000000              3000000
end

3
//Level   RewardMoney1   RewardMoney2   RewardMoney3   RewardMoney4   RewardMoney5   RewardMoney6   RewardMoney7   RewardMoney8   RewardMoney9   RewardMoney10
0         30000          25000          25000          20000          20000          20000          15000          15000          15000          15000
1         40000          35000          35000          30000          30000          30000          25000          25000          25000          25000
2         50000          45000          45000          40000          40000          40000          35000          35000          35000          35000
3         60000          55000          55000          50000          50000          50000          45000          45000          45000          45000
4         70000          65000          65000          60000          60000          60000          55000          55000          55000          55000
5         80000          75000          75000          70000          70000          70000          65000          65000          65000          65000
6         150000         140000         140000         120000         120000         120000         90000          90000          90000          90000
end
