0
//Level   MinLevel   MaxLevel   MinReset   MaxReset   DW   DK   FE   MG   DL   SU
0         15         130        *          *          1    1    1    0    0    1
0         10         110        *          *          0    0    0    1    1    0
1         131        180        *          *          1    1    1    0    0    1
1         111        160        *          *          0    0    0    1    1    0
2         181        230        *          *          1    1    1    0    0    1
2         161        210        *          *          0    0    0    1    1    0
3         231        280        *          *          1    1    1    0    0    1
3         211        260        *          *          0    0    0    1    1    0
4         281        330        *          *          1    1    1    0    0    1
4         261        310        *          *          0    0    0    1    1    0
5         331        400        *          *          1    1    1    0    0    1
5         311        400        *          *          0    0    0    1    1    0
6         390        *          20         *          3    3    3    2    2    3
end

1
//Level   MinLevel   MaxLevel   MinReset   MaxReset   DW   DK   FE   MG   DL   SU
0         15         80         *          *          1    1    1    0    0    1
0         10         60         *          *          0    0    0    1    1    0
1         81         130        *          *          1    1    1    0    0    1
1         61         110        *          *          0    0    0    1    1    0
2         131        180        *          *          1    1    1    0    0    1
2         111        160        *          *          0    0    0    1    1    0
3         181        230        *          *          1    1    1    0    0    1
3         161        210        *          *          0    0    0    1    1    0
4         231        280        *          *          1    1    1    0    0    1
4         211        260        *          *          0    0    0    1    1    0
5         281        330        *          *          1    1    1    0    0    1
5         261        310        *          *          0    0    0    1    1    0
6         331        400        *          *          1    1    1    0    0    1
6         311        400        *          *          0    0    0    1    1    0
7         390        *          20         *          3    3    3    3    2    3
end

2
//Level   MinLevel   MaxLevel   MinReset   MaxReset   DW   DK   FE   MG   DL   SU
0         10         49         *          *          1    1    1    0    0    1
0         10         29         *          *          0    0    0    1    1    0
1         50         119        *          *          1    1    1    0    0    1
1         30         99         *          *          0    0    0    1    1    0
2         120        179        *          *          1    1    1    0    0    1
2         100        159        *          *          0    0    0    1    1    0
3         180        239        *          *          1    1    1    0    0    1
3         160        219        *          *          0    0    0    1    1    0
4         240        299        *          *          1    1    1    0    0    1
4         220        279        *          *          0    0    0    1    1    0
5         300        400        *          *          1    1    1    0    0    1
5         280        400        *          *          0    0    0    1    1    0
6         390        *          20         *          3    3    3    2    2    3
end

3
//Level   MinLevel   MaxLevel   MinReset   MaxReset   DW   DK   FE   MG   DL   SU
5         *          *          *          *          3    3    3    3    3    3
0         220        270        *          *          1    1    1    1    1    1
1         271        320        *          *          1    1    1    1    1    1
2         321        350        *          *          1    1    1    1    1    1
3         351        380        *          *          1    1    1    1    1    1
4         381        400        *          *          1    1    1    1    1    1
end
