0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     0      0        0
0         *      *       *     *     2      0        0
0         *      *       *     *     4      0        0
0         *      *       *     *     6      0        0
0         *      *       *     *     8      0        0
0         *      *       *     *     10     0        0
0         *      *       *     *     12     0        0
0         *      *       *     *     14     0        0
0         *      *       *     *     16     0        0
0         *      *       *     *     18     0        0
0         *      *       *     *     20     0        0
0         *      *       *     *     22     0        0
1         *      *       *     *     0      30       0
1         *      *       *     *     2      30       0
1         *      *       *     *     4      30       0
1         *      *       *     *     6      30       0
1         *      *       *     *     8 	    30       0
1         *      *       *     *     10     30       0
1         *      *       *     *     12     30       0
1         *      *       *     *     14     30       0
1         *      *       *     *     16     30       0
1         *      *       *     *     18     30       0
1         *      *       *     *     20     30       0
1         *      *       *     *     22     30       0
2         *      *       *     *     1      0        0
2         *      *       *     *     5      0        0
2         *      *       *     *     9      0        0
2         *      *       *     *     13     0        0
2         *      *       *     *     17     0        0
2         *      *       *     *     21     0        0
3         *      *       *     *     1      30       0
3         *      *       *     *     3      30       0
3         *      *       *     *     5      30       0
3         *      *       *     *     7      30       0
3         *      *       *     *     9      30       0
3         *      *       *     *     11     30       0
3         *      *       *     *     13     30       0
3         *      *       *     *     15     30       0
3         *      *       *     *     17     30       0
3         *      *       *     *     19     30       0
3         *      *       *     *     21     30       0
3         *      *       *     *     23     30       0

4         *      *       *     *     1      30       0
4         *      *       *     *     3      30       0
4         *      *       *     *     5      30       0
4         *      *       *     *     7      30       0
4         *      *       *     *     9      30       0
4         *      *       *     *     11     30       0
4         *      *       *     *     13     30       0
4         *      *       *     *     15     30       0
4         *      *       *     *     17     30       0
4         *      *       *     *     19     30       0
4         *      *       *     *     21     30       0
4         *      *       *     *     23     30       0

5         *      *       *     *     1      30       0
5         *      *       *     *     3      30       0
5         *      *       *     *     5      30       0
5         *      *       *     *     7      30       0
5         *      *       *     *     9      30       0
5         *      *       *     *     11     30       0
