3
//Index   DropRate
0         10000
1         3000
2         10000
3         10000
4         2000
end

4
//Index   Section   SectionRate   MoneyAmount   OptionValue   DW   DK   FE   MG   DL   SU
0         5         10000          1000          0             1    1    1    1    1    1
1         5         10000          1000          0             1    1    1    1    1    1
2         6         10000          1000          0             1    1    1    1    1    1
3         6         10000          1000          0             1    1    1    1    1    1
4         6         10000          1000          0             1    1    1    1    1    1
end

5											
//Index	Level	Grade	Opt0	Opt1	Opt2	Opt3	Opt4	Opt5	Opt6	Dur	Comment
07,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Helm
08,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Armor
09,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Pants
10,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Gloves
11,029	0	0	*	*	16	32	29	*	*	0	//Dragon Knight Boots
07,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Helm
08,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Armor
09,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Pants
10,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Gloves
11,030	0	0	*	*	16	32	29	*	*	0	//Venom Mist Boots
07,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Helm
08,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Armor
09,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Pants
10,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Gloves
11,031	0	0	*	*	16	32	29	*	*	0	//Sylphid Ray Boots
07,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Helm
08,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Armor
09,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Pants
10,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Gloves
11,033	0	0	*	*	16	32	29	*	*	0	//Sunlight Boots
08,032	0	0	*	*	16	32	29	*	*	0	//Volcano Armor
09,032	0	0	*	*	16	32	29	*	*	0	//Volcano Pants
10,032	0	0	*	*	16	32	29	*	*	0	//Volcano Gloves
11,032	0	0	*	*	16	32	29	*	*	0	//Volcano Boots
07,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Helm
08,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Armor
09,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Pants
10,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Gloves
11,043	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Boots
											
00,022	0	0	*	12	16	32	29	*	*	0	//Bone Blade
00,023	0	0	*	12	16	32	29	*	*	0	//Explosion Blade
05,012	0	0	*	*	16	32	29	*	*	0	//Grand Viper Staff
05,011	0	0	41	*	16	32	29	*	*	0	//Staff of Kundun
04,021	0	0	*	12	16	32	29	*	*	0	//Sylph Wind Bow
02,013	0	0	*	12	16	32	29	*	*	0	//Divine Scepter of Archangel
02,014	0	0	*	12	16	32	29	*	*	0	//Soleil Scepter
05,019	0	0	*	*	16	32	29	*	*	0	//Storm Blitz Stick
end											
											
6												
//Index	Level	Grade	Opt0	Opt1	Opt2	Opt3	Opt4	Opt5	Opt6	Dur	Comment	
07,001	0	0	54	*	17	32	*	24	*	0	//Hyon Dragon Helm	
11,001	0	0	54	*	17	32	*	24	*	0	//Hyon Dragon Boots 	
10,001	0	0	54	*	17	32	*	24	*	0	//Hyon Dragon Gloves 	
00,014	0	0	54	12	17	32	*	24	*	0	//Hyon Lightning Sword 	
												
07,003	0	0	54	*	17	32	*	24	*	0	//Anubis Legendary Helm 	
08,003	0	0	54	*	17	32	*	24	*	0	//Anubis Legendary Armor 	
10,003	0	0	54	*	17	32	*	24	*	0	//Anubis Legendary Gloves 	
13,021	0	0	54	*	*	32	*	24	*	0	//Anubis Ring of Fire	
												
07,005	0	0	54	*	17	32	*	24	*	0	//Warrior Leather Helm 	
08,005	0	0	54	*	17	32	*	24	*	0	//Warrior Leather Armor 	
09,005	0	0	54	*	17	32	*	24	*	0	//Warrior Leather Pants 	
11,005	0	0	54	*	17	32	*	24	*	0	//Warrior Leather Boots 	
10,005	0	0	54	*	17	32	*	24	*	0	//Warrior Leather Gloves 	
02,001	0	0	54	12	17	32	*	24	*	0	//Warrior Morning Star 	
13,008	0	0	54	*	*	32	*	24	*	0	//Warrior Ring of ice	
												
08,000	0	0	54	*	17	32	*	24	*	0	//Hyperion Bronze Armor 	
09,000	0	0	54	*	17	32	*	24	*	0	//Hyperion Bronze Pants 	
11,000	0	0	54	*	17	32	*	24	*	0	//Hyperion Bronze Boots 	
												
08,006	0	0	54	*	17	32	*	24	*	0	//Eplete Scale Armor 	
09,006	0	0	54	*	17	32	*	24	*	0	//Eplete Scale Pants 	
07,006	0	0	54	*	17	32	*	24	*	0	//Eplete Scale Helmet 	
06,009	0	0	54	12	17	32	*	24	*	0	//Eplete Plate Shield 	
13,012	0	0	54	*	*	32	*	24	*	0	//Eplete Pendant of Lightning	
												
08,008	0	0	54	*	17	32	*	24	*	0	//Garuda Brass Armor 	
09,008	0	0	54	*	17	32	*	24	*	0	//Garuda Brass Pants 	
10,008	0	0	54	*	17	32	*	24	*	0	//Garuda Brass Gloves 	
11,008	0	0	54	*	17	32	*	24	*	0	//Garuda Brass Boots 	
13,013	0	0	54	*	*	32	*	24	*	0	//Garuda Pendant of Fire	
												
08,009	0	0	54	*	17	32	*	24	*	0	//Kantata Plate Armor 	
10,009	0	0	54	*	17	32	*	24	*	0	//Kantata Plate Gloves 	
11,009	0	0	54	*	17	32	*	24	*	0	//Kantata Plate Boots 	
13,009	0	0	54	*	*	32	*	24	*	0	//Kantata Ring of Poison	
13,023	0	0	54	*	*	32	*	24	*	0	//Kantata Ring of Wind	
												
08,002	0	0	54	*	17	32	*	24	*	0	//Apollo Pad Armor 	
09,002	0	0	54	*	17	32	*	24	*	0	//Apollo Pad Pants 	
07,002	0	0	54	*	17	32	*	24	*	0	//Apollo Pad Helm 	
10,002	0	0	54	*	17	32	*	24	*	0	//Apollo Pad Gloves 	
05,000	0	0	54	*	17	32	*	24	*	0	//Appollo skull staff 	
13,025	0	0	54	*	*	32	*	24	*	0	//Apollo Pendant of Ice	
13,024	0	0	54	*	*	32	*	24	*	0	//Apollo Ring of Magic	
												
08,004	0	0	54	*	17	32	*	24	*	0	//Evis Bone Armor 	
09,004	0	0	54	*	17	32	*	24	*	0	//Evis Bone Pants 	
