3
//Index   DropRate
0         10000
1         10000
2         5000
3         10000
4         5000

end

4
//Index   Section   SectionRate   MoneyAmount   OptionValue   DW   DK   FE   MG   DL   SU
0         5         10000          1000          0             1    1    1    1    1    1
1         6         10000          1000          0             1    1    1    1    1    1
2         6         10000          1000          0             1    1    1    1    1    1
3         7         10000          1000          0             1    1    1    1    1    1
4         7         10000          1000          0             1    1    1    1    1    1

end

5											
//Index	Level	Grade	Opt0	Opt1	Opt2	Opt3	Opt4	Opt5	Opt6	Dur	Comment
12,074	0	0	*	*	*	*	*	*	*	0	//Perfect Sphere
end											
											
6											
//Index	Level	Grade	Opt0	Opt1	Opt2	Opt3	Opt4	Opt5	Opt6	Dur	Comment
00,026	0	0	*	*	19	35	*	*	24	0	//Flameberge  
00,027	0	0	*	*	19	35	*	*	24	0	//Sword Breaker 
00,028	0	0	*	*	19	35	*	*	24	0	//Rune Bastard Sword
											
02,016	0	0	*	*	19	35	*	*	24	0	//Frost Mace 
02,017	0	0	*	*	19	35	*	*	24	0	//Absolute Scepter 
											
04,023	0	0	*	*	19	35	*	*	25	0	//Dark Stinger Bow
											
05,020	0	0	*	*	19	35	*	*	24	0	//Eternal Wing Stick
05,030	0	0	*	*	19	35	*	*	24	0	//Deadly Staff 
05,031	0	0	*	*	19	35	*	*	24	0	//Inberial Staff 
											
06,017	0	0	*	*	19	35	*	*	24	0	//Crimson Glory 
06,018	0	0	*	*	19	35	*	*	24	0	//Salamander Shield 
06,019	0	0	*	*	19	35	*	*	24	0	//Frost Barrier 
06,020	0	0	*	*	19	35	*	*	24	0	//Guardian Shield 
06,021	0	0	*	*	19	35	*	*	24	0	//Cross Shield 
											
07,045	0	0	*	*	19	35	*	*	24	0	//Titan Helm 
07,046	0	0	*	*	19	35	*	*	24	0	//Brave Helm 
07,049	0	0	*	*	19	35	*	*	24	0	//Seraphim Helm 
07,050	0	0	*	*	19	35	*	*	24	0	//Faith Helm 
07,051	0	0	*	*	19	35	*	*	24	0	//Royal Mask 
07,052	0	0	*	*	19	35	*	*	24	0	//Hades Helm 
07,053	0	0	*	*	19	35	*	*	24	0	//Eternal Wing Helm
											
08,045	0	0	*	*	19	35	*	*	24	0	//Titan Armor 
08,046	0	0	*	*	19	35	*	*	24	0	//Brave Armor 
08,047	0	0	*	*	19	35	*	*	24	0	//Destroy Armor 
08,048	0	0	*	*	19	35	*	*	24	0	//Phantom Armor 
08,049	0	0	*	*	19	35	*	*	24	0	//Seraphim Armor 
08,050	0	0	*	*	19	35	*	*	24	0	//Faith Armor 
08,051	0	0	*	*	19	35	*	*	24	0	//Royal Armor 
08,052	0	0	*	*	19	35	*	*	24	0	//Hades Armor 
