3
//Index   DropRate
0         10000
1         10000
2         10000
3         10000
4         10000
5         10000
end

4
//Index   Section   SectionRate   MoneyAmount   OptionValue   DW   DK   FE   MG   DL   SU
0         5         10000         1000          0             0    1    0    0    0    0
1         6         10000         1000          0             1    0    0    0    0    0
2         7         10000         1000          0             0    0    1    0    0    0
3         8         10000         1000          0             0    0    0    0    0    1
4         9         10000         1000          0             0    0    0    1    0    0
5         10        10000         1000          0             0    0    0    0    1    0
end

//DK Drop:											
5											
//Index	Level	Grade	Opt0	Opt1	Opt2	Opt3	Opt4	Opt5	Opt6	Dur	Comment
07,006	0	0	45	*	*	33	*	*	*	0	//Scale Helm
08,006	0	0	45	*	*	33	*	*	*	0	//Scale Armor
09,006	0	0	45	*	*	33	*	*	*	0	//Scale Pants
10,006	0	0	45	*	*	33	*	*	*	0	//Scale Gloves
11,006	0	0	45	*	*	33	*	*	*	0	//Scale Boots
00,006	0	0	45	12	*	33	*	*	*	0	//Gladius
00,007	0	0	45	12	*	33	*	*	*	0	//Falchion
00,009	0	0	45	12	*	33	*	*	*	0	//Sword of Salamander
06,002	0	0	45	*	*	33	*	*	*	0	//Kite Shield
06,005	0	0	45	*	*	33	*	*	*	0	//Dragon Slayer Shield
06,007	0	0	45	*	*	33	*	*	*	0	//Spiked Shield
end											
											
//DW Drop:											
6											
//Index	Level	Grade	Opt0	Opt1	Opt2	Opt3	Opt4	Opt5	Opt6	Dur	Comment
07,007	0	0	45	*	*	33	*	*	*	0	//Sphinx Helm
08,007	0	0	45	*	*	33	*	*	*	0	//Sphinx Armor
09,007	0	0	45	*	*	33	*	*	*	0	//Sphinx Pants
10,007	0	0	45	*	*	33	*	*	*	0	//Sphinx Gloves
11,007	0	0	45	*	*	33	*	*	*	0	//Sphinx Boots
05,003	0	0	45	*	*	33	*	*	*	0	//Thunder Staff
05,004	0	0	45	*	*	33	*	*	*	0	//Gordon Staff
end											
											
//Elf Drop:											
7											
//Index	Level	Grade	Opt0	Opt1	Opt2	Opt3	Opt4	Opt5	Opt6	Dur	Comment
07,011	0	0	45	*	*	33	*	*	*	0	//Silk Helm
