//Index	MinSpeed	MaxSpeed	MaxDelay	MinCount	MaxCount	Comment
1	50	2000	2000	5	5	//Poison  
2	50	2000	2000	5	5	//Meteorite  
3	50	2000	2000	5	5	//Lightning  
4	50	2000	2000	5	5	//Fire Ball 
5	50	2000	2000	5	5	//Flame  
7	50	2000	2000	5	5	//Ice  
9	50	2000	2000	5	5	//Evil Spirit 
10	50	2000	2000	5	5	//Hell Fire 
11	50	2000	2000	5	5	//Power Wave 
12	50	2000	2000	5	5	//Aqua Beam 
13	50	2000	2000	5	5	//Blast  
14	50	2000	2000	5	5	//Inferno  
17	50	2000	2000	5	5	//Energy Ball 
19	50	2000	2000	5	5	//Falling Slash 
20	50	2000	2000	5	5	//Lunge  
21	50	2000	2000	5	5	//Uppercut  
22	50	2000	2000	5	5	//Cyclone  
23	50	2000	2000	5	5	//Slash  
24	50	2000	2000	5	5	//Triple Shot 
38	50	2000	2000	5	5	//Decay  
39	50	2000	2000	5	5	//Ice Storm 
40	50	2000	2000	5	5	//Nova  
41	50	2000	2000	5	5	//Twisting Slash 
42	50	2000	2000	5	5	//Rageful Blow 
43	50	2000	2000	5	5	//Death Stab 
44	50	2000	2000	5	5	//Crescent Moon Slash
45	50	2000	2000	5	5	//Mana Glaive 
46	50	2000	2000	5	5	//Starfall  
48	50	2000	2000	5	5	//Greater Life 
49	50	2000	2000	5	5	//Fire Breath 
51	50	2000	2000	5	5	//Ice Arrow 
52	50	2000	2000	5	5	//Penetration  
55	50	2000	2000	5	5	//Fire Slash 
56	50	2000	2000	5	5	//Power Slash 
57	50	2000	2000	5	5	//Spiral Slash 
60	50	2000	2000	5	5	//Force  
61	50	2000	2000	5	5	//Fire Burst 
62	50	2000	2000	5	5	//Earthquake  
65	50	2000	2000	5	5	//Electric Spark 
66	50	2000	2000	5	5	//Force Wave 
67	50	2000	2000	5	5	//Stern  
73	50	2000	2000	5	5	//Mana Rays 
74	50	2000	2000	5	5	//Fire Blast 
75	50	2000	2000	5	5	//Brand  
76	50	2000	2000	5	5	//Plasma Storm 
77	50	2000	2000	5	5	//Infinity Arrow 
78	50	2000	2000	5	5	//Fire Scream 
79	50	2000	2000	5	5	//Explosion  
214	50	2000	2000	5	5	//Drain Life 
215	50	2000	2000	5	5	//Chain Lightning 
216	50	2000	2000	5	5	//Electric Surge 
217	50	2000	2000	5	5	//Damage Reflect 
218	50	2000	2000	5	5	//Sword Power 
221	50	2000	2000	5	5	//Weakness  
223	50	2000	2000	5	5	//Sahamutt  
224	50	2000	2000	5	5	//Neil  
225	50	2000	2000	5	5	//Ghost Phantom 
230	50	2000	2000	5	5	//Lighning Shock 
232	50	2000	2000	5	5	//Frozen Stab 
233	50	2000	2000	5	5	//Magic Circle 
234	50	2000	2000	5	5	//Shield Recover 
235	50	2000	2000	5	5	//Five Shot 
236	50	2000	2000	5	5	//Sword Slash 
237	50	2000	2000	5	5	//Lightning Storm 
238	50	2000	2000	5	5	//Birds  
end						
