//Index   ItemMinIndex   ItemMaxIndex   Name                                 Rate   Comment
1         0000           2559           "Add Hunt MP"                        50     //General Weapon
2         0000           2559           "Add Hunt HP"                        50     //General Weapon
4         0000           2559           "Add Speed"                          50     //General Weapon
8         0000           2559           "Mul Physi Damage"                   50     //General Weapon
16        0000           2559           "Add Physi Damage By Level"          50     //General Weapon
32        0000           2559           "Add Excellent Damage Rate"          50     //General Weapon
1         2560           2579           "Add Hunt MP"                        50     //General Staff
2         2560           2579           "Add Hunt HP"                        50     //General Staff
4         2560           2579           "Add Speed"                          50     //General Staff
8         2560           2579           "Mul Magic Damage"                   50     //General Staff
16        2560           2579           "Add Magic Damage By Level"          50     //General Staff
32        2560           2579           "Add Excellent Damage Rate"          50     //General Staff
1         2580           2589           "Add Hunt MP"                        50     //General Book
2         2580           2589           "Add Hunt HP"                        50     //General Book
4         2580           2589           "Add Speed"                          50     //General Book
8         2580           2589           "Mul Curse Damage"                   50     //General Book
16        2580           2589           "Add Curse Damage By Level"          50     //General Book
32        2580           2589           "Add Excellent Damage Rate"          50     //General Book
1         2590           3071           "Add Hunt MP"                        50     //General Staff
2         2590           3071           "Add Hunt HP"                        50     //General Staff
4         2590           3071           "Add Speed"                          50     //General Staff
8         2590           3071           "Mul Magic Damage"                   50     //General Staff
16        2590           3071           "Add Magic Damage By Level"          50     //General Staff
32        2590           3071           "Add Excellent Damage Rate"          50     //General Staff
1         3072           3583           "Add Money Amount Drop Rate"         50     //General Shield
2         3072           3583           "Mul Defense Success Rate"           50     //General Shield
4         3072           3583           "Add Damage Reflect"                 50     //General Shield
8         3072           3583           "Add Damage Reduction"               50     //General Shield
16        3072           3583           "Mul MP"                             50     //General Shield
32        3072           3583           "Mul HP"                             50     //General Shield
1         3584           6143           "Add Money Amount Drop Rate"         50     //General Armor
2         3584           6143           "Mul Defense Success Rate"           50     //General Armor
4         3584           6143           "Add Damage Reflect"                 50     //General Armor
8         3584           6143           "Add Damage Reduction"               50     //General Armor
16        3584           6143           "Mul MP"                             50     //General Armor
32        3584           6143           "Mul HP"                             50     //General Armor
1         6664           6664           "Add Money Amount Drop Rate"         50     //Ring of Ice
2         6664           6664           "Mul Defense Success Rate"           50     //Ring of Ice
4         6664           6664           "Add Damage Reflect"                 50     //Ring of Ice
8         6664           6664           "Add Damage Reduction"               50     //Ring of Ice
16        6664           6664           "Mul MP"                             50     //Ring of Ice
32        6664           6664           "Mul HP"                             50     //Ring of Ice
1         6665           6665           "Add Money Amount Drop Rate"         50     //Ring of Poison
2         6665           6665           "Mul Defense Success Rate"           50     //Ring of Poison
4         6665           6665           "Add Damage Reflect"                 50     //Ring of Poison
8         6665           6665           "Add Damage Reduction"               50     //Ring of Poison
16        6665           6665           "Mul MP"                             50     //Ring of Poison
32        6665           6665           "Mul HP"                             50     //Ring of Poison
1         6677           6677           "Add Money Amount Drop Rate"         50     //Ring of Fire
2         6677           6677           "Mul Defense Success Rate"           50     //Ring of Fire
4         6677           6677           "Add Damage Reflect"                 50     //Ring of Fire
8         6677           6677           "Add Damage Reduction"               50     //Ring of Fire
16        6677           6677           "Mul MP"                             50     //Ring of Fire
32        6677           6677           "Mul HP"                             50     //Ring of Fire
1         6678           6678           "Add Money Amount Drop Rate"         50     //Ring of Earth
2         6678           6678           "Mul Defense Success Rate"           50     //Ring of Earth
4         6678           6678           "Add Damage Reflect"                 50     //Ring of Earth
8         6678           6678           "Add Damage Reduction"               50     //Ring of Earth
16        6678           6678           "Mul MP"                             50     //Ring of Earth
32        6678           6678           "Mul HP"                             50     //Ring of Earth
1         6679           6679           "Add Money Amount Drop Rate"         50     //Ring of Wind
2         6679           6679           "Mul Defense Success Rate"           50     //Ring of Wind
4         6679           6679           "Add Damage Reflect"                 50     //Ring of Wind
8         6679           6679           "Add Damage Reduction"               50     //Ring of Wind
16        6679           6679           "Mul MP"                             50     //Ring of Wind
32        6679           6679           "Mul HP"                             50     //Ring of Wind
1         6680           6680           "Add Money Amount Drop Rate"         50     //Ring of Magic
2         6680           6680           "Mul Defense Success Rate"           50     //Ring of Magic
4         6680           6680           "Add Damage Reflect"                 50     //Ring of Magic
8         6680           6680           "Add Damage Reduction"               50     //Ring of Magic
16        6680           6680           "Mul MP"                             50     //Ring of Magic
32        6680           6680           "Mul HP"                             50     //Ring of Magic
1         6668           6668           "Add Hunt MP"                        50     //Pendant of Lighting
2         6668           6668           "Add Hunt HP"                        50     //Pendant of Lighting
4         6668           6668           "Add Speed"                          50     //Pendant of Lighting
8         6668           6668           "Mul Magic Damage"                   50     //Pendant of Lighting
16        6668           6668           "Add Magic Damage By Level"          50     //Pendant of Lighting
32        6668           6668           "Add Excellent Damage Rate"          50     //Pendant of Lighting
1         6669           6669           "Add Hunt MP"                        50     //Pendant of Fire
2         6669           6669           "Add Hunt HP"                        50     //Pendant of Fire
4         6669           6669           "Add Speed"                          50     //Pendant of Fire
