//Index   Message
0         "Blood Castle will close in %d minute(s)"
1         "Blood Castle closed"
2         "Blood Castle %d will start in %d minute(s)"
3         "Blood Castle started"
4	  "All the monsters were defeated"
5 	  "All boss monsters have been defeated"
6 	  "Blood Castle finished"
7 	  "You are not strong enough to enter the Blood Castle"
8 	  "Player %s dropped his angel weapon"
9 	  "Player %s took the angel weapon"
10 	  "Player %s has destroyed the castle gate"
11 	  "Player %s has destroyed the statue"
16 	  "Chaos Castle will close in %d minute(s)"
17 	  "Chaos Castle closed"
18 	  "Chaos Castle %d will start in %d minute(s)"
19 	  "Chaos Castle started"
20 	  "Chaos Castle finished"
64 	  "You do not have permission to use /post"
65 	  "You must be at least level %d to use /post"
66 	  "You need at least %d resets to use /post"
67 	  "You need at least %d zen to use /post"
68 	  "You must wait %d seconds to use /post"
69        "[POST] %s"
70 	  "You do not have permission to use /add"
71 	  "Command exclusive for Dark Lord"
72 	  "You do not have enough points to add"
73 	  "You need at least %d zen to use /add"
74 	  "You added %d points, %d remaining points to be distributed"
75 	  "You do not have permission to use /pkclear"
76 	  "You are not PK"
77 	  "You need at least %d zen to use /pkclear"
78 	  "You cleaned your PK successfully"
79 	  "You do not have permission to use /money"
80 	  "You entered an invalid value to add"
81 	  "You do not have permission to use /change"
82 	  "You need at least %d zen to use /change"
83 	  "You can not evolve more"
84 	  "You have successfully evolved"
85 	  "You do not have permission to use the /ware"
86 	  "You can not use /ware at the moment"
87 	  "You have entered an invalid warehouse to change"
88 	  "You moved to the ware %d successfully"
89 	  "You do not have permission to use /reset"
90 	  "You can not use /reset at the moment"
91 	  "You must be level %d before use /reset"
92 	  "You need at least %d zen to use /reset"
93 	  "You can not have more than %d resets"
94 	  "You can not reset with items equipped"
95 	  "You reset successfully and now have %d resets"
96 	  "You do not have permission to use /gmmove"
97 	  "You have entered an invalid target for /gmmove"
98 	  "You do not have permission to use /gmpost"
99 	  "You do not have permission to use /track"
100 	  "You entered an invalid target for /track"
101 	  "You do not have permission to use /trace"
102 	  "You entered an invalid target for /trace"
103 	  "You do not have permission to use /disconnect"
104 	  "You entered an invalid target for /disconnect"
105 	  "You do not have permission to use /fireworks"
106 	  "You do not have permission to use /make"
107 	  "You have successfully created the item"
108 	  "You do not have permission to use /skin"
109 	  "You entered an invalid target for /skin"
110 	  "You do not have permission to use /setmoney"
111 	  "You entered an invalid target for /setmoney"
112 	  "You entered an invalid value for /setmoney"
113 	  "You do not have permission to use /notice"
114 	  "Auto add: Enabled (%d)"
115 	  "Auto add: Disabled"
116 	  "Auto reset: Enabled"
117 	  "Auto reset: Disabled"
118 	  "You do not have permission to use /mreset"
119 	  "You can not use the /mreset"
120 	  "You need at least %d levels to use /mreset"
121 	  "You need at least %d resets to use /mreset"
122 	  "You need at least %d zen to use /mreset"
123 	  "You can not have more than %d master resets"
124 	  "You can not master reset with items equipped"
125 	  "Master Reset successfully and now you have %d master resets"
126       "Requests On"
127       "Requests Off"
128       "Requests Auto"
129       "You can only reset %d times per day"
130       "You can only reset %d times per week"
131       "You can only reset %d times per month"
132       "You can only master reset %d times per day"
133       "You can only master reset %d times per week"
134       "You can only master reset %d times per month"
135       "You do not have permission to use /hide"
136       "You do not have permission to use /mute"
137       "You have entered an invalid target for /mute"
144 	  "Devil Square will close in %d minute(s)"
145 	  "Devil Square closed"
146 	  "Devil Square %d will start in %d minute(s)"
147 	  "Devil Square started"
148 	  "Devil Square ended"
149 	  "You're not strong enough to enter the Devil Square"
160 	  "The target player is not online"
161 	  "You can not duel in the moment"
162 	  "Target player refused his request dueling automatically"
163 	  "You already asked or have been asked to duel"
164 	  "Target already asked or have been asked to duel"
165 	  "You can not duel while in Guild War"
166 	  "Target player can not duel while in Guild War"
167 	  "You can not duel on this map"
168 	  "You can not duel during the Castle Siege"
169 	  "The name of the target player is invalid"
170 	  "You can not duel with Self Defense"
171 	  "The target player can not duel with Self Defense"
172 	  "Target player refused his request dueling"
173 	  "All the arenas are full at the moment"
174 	  "The Duel between %s and %s started!"
175 	  "Player %s beat %s on the duel!"
176 	  "Illusion Temple will close in %d minute(s)"
177 	  "Illusion Temple closed"
178 	  "Illusion Temple %d will start in %d minute(s)"
179 	  "Illusion Temple started"
180 	  "Illusion Temple finished"
181 	  "You're not strong enough to enter the Illusion Temple"
182 	  "You do not have the required item to enter the Illusion Temple"
183 	  "Player %s dropped the artifact"
184 	  "Player %s picked up the artifact"
192 	  "Skeleton King invasion has started!"
193 	  "Red Dragon invasion has started!"
194 	  "Golden invasion has started!"
195 	  "White Wizard invasion has started!"
196 	  "New Year invasion has started!"
197 	  "Easter Rabbit invasion has started!"
198 	  "Summer invasion has started!"
199 	  "Christmas invasion has started!"
200 	  "Medusa invasion has started!"
202 	  "Player %s defeated the Skeleton King!"
203 	  "www.wykopmu.pl"
204 	  "Player %s defeated the Golden Tantalos"
205 	  "Welcome to WykopMU!"
206 	  "Player %s defeated the Cursed Santa!"
207 	  "Player %s defeated the Medusa!"
208       "Moss Merchant appeared!"
209       "Moss Merchant is gone!"
210       "Summon the Demon's invasion has started!"
211       "Egg Event invasion has started!"
224 	  "You must be at least level %d to move"
225 	  "You need at least %d zen to move"
226 	  "You can not move at the time"
227 	  "Killers can not move"
228 	  "You do not have the right equipment to move"
229 	  "Only members of gens can move"
230 	  "You have to be max level %d to move"
231       "You have to be min %d resets to move"
232       "You have to be max %d resets to move"
240 	  "The Senior is not currently active"
241 	  "The Senior does not work during the Castle Siege"
242 	  "You must be in the guild that owns the castle to use the Senior"
243 	  "You must be the owner of the guild to use the Senior"
244 	  "The Guardsman does not work during the Castle Siege"
245 	  "You are already in a guild"
246 	  "You do not have enough level to create a guild"
247 	  "The shop is empty"
248 	  "Account Level: Free"
249 	  "Account Level: Vip1 (%s)"
250 	  "Account Level: Vip2 (%s)"
251 	  "Account Level: Vip3 (%s)"
256       "Welcome %s to WykopMu!"
257 	  "You must be at least level 40 to use the ring"
258 	  "You must be at least level 80 to use the ring"
259 	  "You can not move to this map at the moment"
260 	  "You can not pick up this item at the moment"
261 	  "You can not leave the game with an open Trade"
262 	  "You can not leave the game with an open Warehouse"
263 	  "You can not leave the game with an open Chaos Machine"
264 	  "You can not leave the game with an open Trainer"
265 	  "You can not leave the game while in Self Defense"
266 	  "You are at the max level"
267 	  "You are at the max master level"
268 	  "You can only add %d points"
269 	  "You can not talk for %d minutes"
270 	  "You can not send email to yourself"
271 	  "Hello, im the happy guard"
272 	  "Could not use the teleport"
273 	  "You will be teleported in %d second(s)"
274 	  "You can not move to this map mounted"
275 	  "You can not move to this map without wings"
276 	  "Gift from CashShop"
277       "Only members of Gens families can create a guild"
278       "%s put item %s +13"
304 	  "The Ice Walker appeared!"
305 	  "You are not strong enough to get into Double Goer"
306 	  "The Ice Walker was defeated!"
307       "Double Goer will close in %d minute(s)"
308       "Double Goer closed"
309       "Double Goer %d will start in %d minute(s)"
320 	  "The Selupan appeared! The door of the incubator will close in %d minute(s)"
321 	  "The door of the incubator closed"
322 	  "Player %s Selupan defeated!"
323 	  "The door of the incubator will open again in %d minute(s)"
324 	  "The incubator gate opened!"
325 	  "The incubator gate is closing"
336 	  "The Tower of Refinement will close in 60 minute(s)"
337 	  "The Tower of Refinement will close in 20 minute(s)"
338 	  "The Kanturu Gate will open in 1 minute(s)"
339 	  "The battle against Maya will start soon, get ready"
340 	  "The next battle will begin at 1 minute(s)"
341 	  "The Nightmare appeared! Defeat him to unlock the Tower of Refinement"
342 	  "The Nightmare was defeated! The Tower of Refinement was released"
343 	  "The time is up, you will be removed from the event"
352 	  "The Castle Deep will begin in 5 minute(s)"
353 	  "The Castle Deep started"
354 	  "The Castle Deep ended"
355 	  "The Erohim was killed by %s"
