0
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            015          09             30         135            092            *              //Skeleton Archer
0            015          09             30         124            082            *              //Skeleton Archer
0            015          09             30         135            102            *              //Skeleton Archer
0            015          09             30         131            087            *              //Skeleton Archer
0            015          09             30         126            083            *              //Skeleton Archer
0            015          09             30         146            087            *              //Skeleton Archer
0            015          09             30         128            096            *              //Skeleton Archer
0            015          09             30         139            098            *              //Skeleton Archer
0            015          09             30         134            109            *              //Skeleton Archer
0            015          09             30         146            102            *              //Skeleton Archer
0            015          09             30         127            089            *              //Skeleton Archer
0            015          09             30         144            098            *              //Skeleton Archer
0            015          09             30         148            097            *              //Skeleton Archer
0            015          09             30         134            095            *              //Skeleton Archer
0            015          09             30         128            103            *              //Skeleton Archer
0            015          09             30         148            101            *              //Skeleton Archer
0            015          09             30         130            109            *              //Skeleton Archer
0            015          09             30         122            086            *              //Skeleton Archer
0            015          09             30         129            090            *              //Skeleton Archer
0            015          09             30         121            100            *              //Skeleton Archer
0            015          09             30         135            092            *              //Skeleton Archer
0            015          09             30         124            082            *              //Skeleton Archer
0            015          09             30         135            102            *              //Skeleton Archer
0            015          09             30         131            087            *              //Skeleton Archer
0            015          09             30         126            083            *              //Skeleton Archer
0            015          09             30         146            087            *              //Skeleton Archer
0            015          09             30         128            096            *              //Skeleton Archer
0            015          09             30         139            098            *              //Skeleton Archer
0            015          09             30         134            109            *              //Skeleton Archer
0            015          09             30         146            102            *              //Skeleton Archer
0            015          09             30         127            089            *              //Skeleton Archer
0            015          09             30         144            098            *              //Skeleton Archer
0            015          09             30         148            097            *              //Skeleton Archer
0            015          09             30         134            095            *              //Skeleton Archer
0            015          09             30         128            103            *              //Skeleton Archer
0            015          09             30         148            101            *              //Skeleton Archer
0            015          09             30         130            109            *              //Skeleton Archer
0            015          09             30         122            086            *              //Skeleton Archer
0            015          09             30         129            090            *              //Skeleton Archer
0            015          09             30         121            100            *              //Skeleton Archer
0            017          09             30         145            096            *              //Cyclops
0            017          09             30         129            105            *              //Cyclops
0            017          09             30         147            094            *              //Cyclops
0            017          09             30         133            087            *              //Cyclops
0            017          09             30         141            104            *              //Cyclops
0            017          09             30         144            102            *              //Cyclops
0            017          09             30         143            109            *              //Cyclops
0            017          09             30         127            085            *              //Cyclops
0            017          09             30         141            097            *              //Cyclops
0            017          09             30         135            094            *              //Cyclops
0            017          09             30         142            103            *              //Cyclops
0            017          09             30         128            097            *              //Cyclops
0            017          09             30         128            084            *              //Cyclops
0            017          09             30         134            095            *              //Cyclops
0            017          09             30         121            084            *              //Cyclops
0            017          09             30         139            100            *              //Cyclops
0            017          09             30         141            108            *              //Cyclops
0            017          09             30         145            091            *              //Cyclops
0            017          09             30         145            085            *              //Cyclops
0            017          09             30         145            100            *              //Cyclops
0            017          09             30         145            096            *              //Cyclops
0            017          09             30         129            105            *              //Cyclops
0            017          09             30         147            094            *              //Cyclops
0            017          09             30         133            087            *              //Cyclops
0            017          09             30         141            104            *              //Cyclops
0            017          09             30         144            102            *              //Cyclops
0            017          09             30         143            109            *              //Cyclops
0            017          09             30         127            085            *              //Cyclops
0            017          09             30         141            097            *              //Cyclops
0            017          09             30         135            094            *              //Cyclops
0            017          09             30         142            103            *              //Cyclops
0            017          09             30         128            097            *              //Cyclops
0            017          09             30         128            084            *              //Cyclops
0            017          09             30         134            095            *              //Cyclops
0            017          09             30         121            084            *              //Cyclops
0            017          09             30         139            100            *              //Cyclops
0            017          09             30         141            108            *              //Cyclops
0            017          09             30         145            091            *              //Cyclops
0            017          09             30         145            085            *              //Cyclops
0            017          09             30         145            100            *              //Cyclops
1            005          09             30         148            108            *              //Hell Hound
1            005          09             30         148            090            *              //Hell Hound
1            005          09             30         132            103            *              //Hell Hound
1            005          09             30         129            102            *              //Hell Hound
1            005          09             30         143            086            *              //Hell Hound
1            005          09             30         140            104            *              //Hell Hound
1            005          09             30         146            106            *              //Hell Hound
1            005          09             30         134            105            *              //Hell Hound
1            005          09             30         134            106            *              //Hell Hound
1            005          09             30         124            109            *              //Hell Hound
1            005          09             30         141            083            *              //Hell Hound
1            005          09             30         136            085            *              //Hell Hound
1            005          09             30         131            098            *              //Hell Hound
1            005          09             30         121            083            *              //Hell Hound
1            005          09             30         138            107            *              //Hell Hound
1            005          09             30         148            108            *              //Hell Hound
1            005          09             30         148            090            *              //Hell Hound
1            005          09             30         132            103            *              //Hell Hound
1            005          09             30         129            102            *              //Hell Hound
1            005          09             30         143            086            *              //Hell Hound
1            005          09             30         140            104            *              //Hell Hound
1            005          09             30         146            106            *              //Hell Hound
1            005          09             30         134            105            *              //Hell Hound
1            005          09             30         134            106            *              //Hell Hound
1            005          09             30         124            109            *              //Hell Hound
1            005          09             30         141            083            *              //Hell Hound
1            005          09             30         136            085            *              //Hell Hound
1            005          09             30         131            098            *              //Hell Hound
1            005          09             30         121            083            *              //Hell Hound
1            005          09             30         138            107            *              //Hell Hound
1            009          09             30         142            109            *              //Thunder Lich
1            009          09             30         143            088            *              //Thunder Lich
1            009          09             30         146            096            *              //Thunder Lich
1            009          09             30         146            101            *              //Thunder Lich
1            009          09             30         139            082            *              //Thunder Lich
1            009          09             30         139            099            *              //Thunder Lich
1            009          09             30         137            105            *              //Thunder Lich
1            009          09             30         134            108            *              //Thunder Lich
1            009          09             30         128            109            *              //Thunder Lich
1            009          09             30         139            090            *              //Thunder Lich
1            009          09             30         148            096            *              //Thunder Lich
1            009          09             30         127            092            *              //Thunder Lich
1            009          09             30         144            097            *              //Thunder Lich
1            009          09             30         127            095            *              //Thunder Lich
1            009          09             30         121            107            *              //Thunder Lich
1            009          09             30         142            109            *              //Thunder Lich
1            009          09             30         143            088            *              //Thunder Lich
1            009          09             30         146            096            *              //Thunder Lich
1            009          09             30         146            101            *              //Thunder Lich
1            009          09             30         139            082            *              //Thunder Lich
1            009          09             30         139            099            *              //Thunder Lich
1            009          09             30         137            105            *              //Thunder Lich
1            009          09             30         134            108            *              //Thunder Lich
1            009          09             30         128            109            *              //Thunder Lich
1            009          09             30         139            090            *              //Thunder Lich
1            009          09             30         148            096            *              //Thunder Lich
1            009          09             30         127            092            *              //Thunder Lich
1            009          09             30         144            097            *              //Thunder Lich
1            009          09             30         127            095            *              //Thunder Lich
1            009          09             30         121            107            *              //Thunder Lich
2            010          09             30         130            096            *              //Dark Knight
2            010          09             30         137            090            *              //Dark Knight
2            010          09             30         137            093            *              //Dark Knight
2            010          09             30         131            094            *              //Dark Knight
2            010          09             30         133            102            *              //Dark Knight
2            010          09             30         124            091            *              //Dark Knight
2            010          09             30         141            082            *              //Dark Knight
2            010          09             30         142            105            *              //Dark Knight
2            010          09             30         132            086            *              //Dark Knight
2            010          09             30         136            090            *              //Dark Knight
2            010          09             30         130            096            *              //Dark Knight
2            010          09             30         137            090            *              //Dark Knight
2            010          09             30         137            093            *              //Dark Knight
2            010          09             30         131            094            *              //Dark Knight
2            010          09             30         133            102            *              //Dark Knight
2            010          09             30         124            091            *              //Dark Knight
2            010          09             30         141            082            *              //Dark Knight
2            010          09             30         142            105            *              //Dark Knight
2            010          09             30         132            086            *              //Dark Knight
2            010          09             30         136            090            *              //Dark Knight
2            016          09             30         121            082            *              //Chief Skeleton Warrior
2            016          09             30         121            082            *              //Chief Skeleton Warrior
2            016          09             30         123            100            *              //Chief Skeleton Warrior
2            016          09             30         123            100            *              //Chief Skeleton Warrior
2            016          09             30         141            094            *              //Chief Skeleton Warrior
2            016          09             30         124            090            *              //Chief Skeleton Warrior
2            016          09             30         137            090            *              //Chief Skeleton Warrior
2            016          09             30         130            098            *              //Chief Skeleton Warrior
2            016          09             30         144            089            *              //Chief Skeleton Warrior
2            016          09             30         124            092            *              //Chief Skeleton Warrior
2            016          09             30         140            102            *              //Chief Skeleton Warrior
2            016          09             30         140            102            *              //Chief Skeleton Warrior
2            016          09             30         130            086            *              //Chief Skeleton Warrior
2            016          09             30         130            086            *              //Chief Skeleton Warrior
3            018          09             30         132            096            *              //Gorgon
3            018          09             30         124            107            *              //Gorgon
3            018          09             30         132            084            *              //Gorgon
3            018          09             30         132            105            *              //Gorgon
3            018          09             30         133            100            *              //Gorgon
end

1
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            036          09             30         137            164            *              //Shadow
0            036          09             30         126            154            *              //Shadow
0            036          09             30         137            174            *              //Shadow
0            036          09             30         133            159            *              //Shadow
0            036          09             30         128            155            *              //Shadow
0            036          09             30         148            159            *              //Shadow
0            036          09             30         130            168            *              //Shadow
0            036          09             30         141            170            *              //Shadow
0            036          09             30         136            181            *              //Shadow
0            036          09             30         148            174            *              //Shadow
0            036          09             30         129            161            *              //Shadow
0            036          09             30         146            170            *              //Shadow
0            036          09             30         150            169            *              //Shadow
0            036          09             30         136            167            *              //Shadow
0            036          09             30         130            175            *              //Shadow
0            036          09             30         150            173            *              //Shadow
0            036          09             30         132            181            *              //Shadow
0            036          09             30         124            158            *              //Shadow
0            036          09             30         131            162            *              //Shadow
0            036          09             30         123            172            *              //Shadow
0            036          09             30         137            164            *              //Shadow
0            036          09             30         126            154            *              //Shadow
0            036          09             30         137            174            *              //Shadow
0            036          09             30         133            159            *              //Shadow
0            036          09             30         128            155            *              //Shadow
0            036          09             30         148            159            *              //Shadow
0            036          09             30         130            168            *              //Shadow
0            036          09             30         141            170            *              //Shadow
0            036          09             30         136            181            *              //Shadow
0            036          09             30         148            174            *              //Shadow
0            036          09             30         129            161            *              //Shadow
0            036          09             30         146            170            *              //Shadow
0            036          09             30         150            169            *              //Shadow
0            036          09             30         136            167            *              //Shadow
0            036          09             30         130            175            *              //Shadow
0            036          09             30         150            173            *              //Shadow
0            036          09             30         132            181            *              //Shadow
0            036          09             30         124            158            *              //Shadow
0            036          09             30         131            162            *              //Shadow
0            036          09             30         123            172            *              //Shadow
0            039          09             30         147            168            *              //Poison Shadow
0            039          09             30         131            177            *              //Poison Shadow
0            039          09             30         149            166            *              //Poison Shadow
0            039          09             30         135            159            *              //Poison Shadow
0            039          09             30         143            176            *              //Poison Shadow
0            039          09             30         146            174            *              //Poison Shadow
0            039          09             30         145            181            *              //Poison Shadow
0            039          09             30         129            157            *              //Poison Shadow
0            039          09             30         143            169            *              //Poison Shadow
0            039          09             30         137            166            *              //Poison Shadow
0            039          09             30         144            175            *              //Poison Shadow
