//Index	Level	Count	Option1	Option2	Option3	NewOption	Comment
3584	5	0	0	0	0	0	//Bronze Helm
3609	5	0	0	0	0	0	//Light Plate Helm
3076	0	0	1	1	2	0	//Bucker
1025	0	0	1	1	2	0	//Morning Star
0515	0	0	1	1	2	0	//Tomahawk
4096	5	0	0	0	0	0	//Bronze Armor
4121	5	0	0	0	0	0	//Light Plate Armor
3077	0	0	1	1	2	0	//Dragon Slayer
1032	0	0	1	1	2	0	//Battle Scepter
1033	0	0	1	1	2	0	//Master Scepter
4608	5	0	0	0	0	0	//Bronze Pants
0003	0	0	1	1	2	0	//Katache
0005	0	0	1	1	2	0	//Blade
4633	5	0	0	0	0	0	//Light Plate Pants
5632	5	0	0	0	0	0	//Bronze Boots
5145	5	0	0	0	0	0	//Light Plate Gloves
5657	5	0	0	0	0	0	//Light Plate Boots
5120	5	0	0	0	0	0	//Bronze Gloves
end							
