//Index	Level	Count	Option1	Option2	Option3	NewOption	Comment
3586	5	0	0	0	0	0	//Pad Helm
3588	5	0	0	0	0	0	//Bone Helm
2561	0	0	0	1	2	0	//Angelic Staff
7683	0	0	0	0	0	0	//Fireball Scroll
7690	0	0	0	0	0	0	//Power Wave Scroll
4098	5	0	0	0	0	0	//Pad Armor
4100	5	0	0	0	0	0	//Bone Armor
7682	0	0	0	0	0	0	//Lightning Scroll
7685	0	0	0	0	0	0	//Teleport Scroll
2562	0	0	0	1	2	0	//Serpent Staff
4610	5	0	0	0	0	0	//Pad Pants
4612	5	0	0	0	0	0	//Bone Pants
7681	0	0	0	0	0	0	//Meteor Scroll
7686	0	0	0	0	0	0	//Ice Scroll
5634	5	0	0	0	0	0	//Pad Boots
5636	5	0	0	0	0	0	//Bone Boots
7687	0	0	0	0	0	0	//Twister Scroll
7688	0	0	0	0	0	0	//Evil Spirits Scroll
7680	0	0	0	0	0	0	//Poison Scroll
7684	0	0	0	0	0	0	//Flame Scroll
5122	5	0	0	0	0	0	//Pad Gloves
5124	5	0	0	0	0	0	//Bone Gloves
2560	0	0	0	1	2	0	//Skull Staff
7174	0	255	0	0	0	0	//Large Mana Potion
7173	0	255	0	0	0	0	//Medium Mana Potion
7172	0	255	0	0	0	0	//Samll Mana Potion
7176	0	3	0	0	0	0	//Antidote
end							
