//Index	Level	Count	Option1	Option2	Option3	NewOption	Comment
7171	0	20	0	0	0	0	//Large Healing Potion
7170	0	20	0	0	0	0	//Medium Healing Potion
7169	0	20	0	0	0	0	//Small Healing Potion
7168	0	20	0	0	0	0	//Apple
3074	0	0	1	1	2	0	//Kite Shield
5125	5	0	0	0	0	0	//Leather Gloves
7174	0	20	0	0	0	0	//Large Mana Potion
7173	0	20	0	0	0	0	//Medium Mana Potion
7172	0	20	0	0	0	0	//Small Mana Potion
7176	0	3	0	0	0	0	//Antidote
3589	5	0	0	0	0	0	//Leather Helm
4101	5	0	0	0	0	0	//Leather Armor
4613	5	0	0	0	0	0	//Leather Pants
5637	5	0	0	0	0	0	//Leather Boots
0001	0	0	0	1	2	0	//Short Sword
0002	0	0	1	1	2	0	//Rapier
0514	0	0	1	1	2	0	//Double Axe
0517	0	0	1	1	2	0	//Battle Axe
end							
