//Index	Level	Count	Option1	Option2	Option3	NewOption	Comment
3592	5	0	0	0	0	0	//Brass Helm
5640	5	0	0	0	0	0	//Brass Boots
3610	5	0	0	0	0	0	//Adamantine Helm
5658	5	0	0	0	0	0	//Adamantine Boots
4104	5	0	0	0	0	0	//Brass Armor
5128	5	0	0	0	0	0	//Brass Gloves
4122	5	0	0	0	0	0	//Adamantine Armor
5146	5	0	0	0	0	0	//Adamantine Gloves
4616	5	0	0	0	0	0	//Brass Pants
3082	0	0	1	1	2	0	//Big Round Shield
7171	0	20	0	0	0	0	//Large Healing Potion
7174	0	20	0	0	0	0	//Large Mana Potion
4634	5	0	0	0	0	0	//Adamantine Pants
7170	0	20	0	0	0	0	//Medium Healing Potion
7173	0	20	0	0	0	0	//Medium Mana Potion
7169	0	20	0	0	0	0	//Small Healing Potion
7172	0	20	0	0	0	0	//Small Mana Potion
end							
