//Index	Level	Count	Option1	Option2	Option3	NewOption	Comment
3610	5	0	0	0	0	0	//Adamantine Helm
3592	5	0	0	0	0	0	//Brass Helm
3597	5	0	0	0	0	0	//Spirit Helm
0011	0	0	1	1	2	0	//Legendary Sword
4122	5	0	0	0	0	0	//Adamantine Armor
4104	5	0	0	0	0	0	//Brass Armor
4109	5	0	0	0	0	0	//Spirit Armor
1027	0	0	1	1	2	0	//Great Hammer
4616	5	0	0	0	0	0	//Brass Pants
4621	5	0	0	0	0	0	//Spirit Pants
4634	5	0	0	0	0	0	//Adamantine Pants
5640	5	0	0	0	0	0	//Brass Boots
5645	5	0	0	0	0	0	//Spirit Boots
0518	0	0	1	1	2	0	//Nikkea Axe
5658	5	0	0	0	0	0	//Adamantine Boots
5128	5	0	0	0	0	0	//Brass Gloves
5133	5	0	0	0	0	0	//Spirit Gloves
5146	5	0	0	0	0	0	//Adamantine Gloves
2051	0	0	1	1	2	0	//Battle Bow
3077	0	0	1	1	2	0	//Dragon Slayer
3082	0	0	1	1	2	0	//Big Round Shield
1543	0	0	1	1	2	0	//Bardiche
1032	0	0	1	1	2	0	//Battle Scepter
1033	0	0	1	1	2	0	//Master Scepter
2055	0	0	0	0	0	0	//Bolts
2063	0	0	0	0	0	0	//Arrows
2059	0	0	1	1	2	0	//Light Crossbow
2055	1	0	0	0	0	0	//Bolts
2063	1	0	0	0	0	0	//Arrows
2055	2	0	0	0	0	0	//Bolts
2063	2	0	0	0	0	0	//Arrows
end							
