//Index	Level	Count	Option1	Option2	Option3	NewOption	Comment
7171	0	255	0	0	0	0	//Large Healing Potion
7170	0	255	0	0	0	0	//Medium Healing Potion
7169	0	255	0	0	0	0	//Small Healing Potion
7168	0	255	0	0	0	0	//Apple
7177	0	0	0	0	0	0	//Ale
6152	0	0	0	0	0	0	//Healing Orb
6153	0	0	0	0	0	0	//Orb of Greater Defence
6154	0	0	0	0	0	0	//Orb of Greater Damage
7174	0	255	0	0	0	0	//Large Mana Potion
7173	0	255	0	0	0	0	//Medium Mana Potion
7172	0	255	0	0	0	0	//Small Mana Potion
7176	0	30	0	0	0	0	//Antidote
6155	0	0	0	0	0	0	//Orb Goblin
6155	1	0	0	0	0	0	//Orb Golem
6155	2	0	0	0	0	0	//Orb Assasin
							
3594	5	0	0	0	0	0	//Vine Helm
3595	5	0	0	0	0	0	//Silk Helm
3596	5	0	0	0	0	0	//Wind Helm
3075	0	0	0	0	2	0	//Fairy Shield
4106	5	0	0	0	0	0	//Vine Armor
4107	5	0	0	0	0	0	//Silk Armor
4108	5	0	0	0	0	0	//Wind Armor
3088	0	0	0	0	2	0	//Elemental Shield
4618	5	0	0	0	0	0	//Vine Pants
4619	5	0	0	0	0	0	//Silk Pants
4620	5	0	0	0	0	0	//Wind Pants
0516	0	0	0	1	0	0	//Fairy Axe
0000	0	0	0	1	0	0	//Kris
5642	5	0	0	0	0	0	//Vine Boots
5643	5	0	0	0	0	0	//Silk Boots
5644	5	0	0	0	0	0	//Wind Boots
7177	1	0	0	0	0	0	//Ale
5130	5	0	0	0	0	0	//Vine Gloves
5131	5	0	0	0	0	0	//Silk Gloves
5132	5	0	0	0	0	0	//Wind Gloves
end							
