//Index	Level	Count	Option1	Option2	Option3	NewOption	Comment
7171	0	255	0	0	0	0	//Large Healing Potion
7170	0	255	0	0	0	0	//Medium Healing Potion
7169	0	255	0	0	0	0	//Small Healing Potion
7168	0	255	0	0	0	0	//Apple
2055	3	0	0	0	0	0	//Bolts
2055	2	0	0	0	0	0	//Bolts
2055	1	0	0	0	0	0	//Bolts
7177	1	0	0	0	0	0	//Ale
7174	0	255	0	0	0	0	//Large Mana Potion
7173	0	255	0	0	0	0	//Medium Mana Potion
7172	0	255	0	0	0	0	//Small Mana Potion
7176	0	30	0	0	0	0	//Antidote
2063	3	0	0	0	0	0	//Arrows
2063	2	0	0	0	0	0	//Arrows
2063	1	0	0	0	0	0	//Arrows
7177	0	0	0	0	0	0	//Ale
6664	2	0	1	0	2	0	//Ring of Ice
6665	2	0	1	0	2	0	//Ring of Poison
6668	2	0	1	0	2	0	//Lightning Pendant
6669	2	0	1	0	2	0	//Fire Pendant
6682	2	0	1	0	2	0	//Pendant of Wind
6683	2	0	1	0	2	0	//Pendant of Water
6684	2	0	1	0	2	0	//Pendant of Ability
end							
