//Index   Level   Grade   Value         Comment
2055      0       *       1             //Bolt
2055      1       *       14            //Bolt
2055      2       *       22            //Bolt
2055      3       *       30            //Bolt
2063      0       *       1             //Arrow
2063      1       *       12            //Arrow
2063      2       *       20            //Arrow
2063      3       *       28            //Arrow
//6144      *       *       500000        //Wings of Elf
//6145      *       *       500000        //Wings of Heaven
//6146      *       *       500000        //Wings of Satan
//6147      *       *       2000000       //Wings of Spirits
//6148      *       *       2000000       //Wings of Soul
//6149      *       *       2000000       //Wings of Dragon
//6150      *       *       2000000       //Wings of Darkness
6159      *       *       81000         //Jewel of Chaos
6170      0       *       600           //Gem of Secret
6174      0       *       9000000       //Bundle of Jewel of Bless 1
6174      1       *       18000000      //Bundle of Jewel of Bless 2
6174      2       *       27000000      //Bundle of Jewel of Bless 3
6175      0       *       6000000       //Bundle of Jewel of Soul 1
6175      1       *       12000000      //Bundle of Jewel of Soul 2
6175      0       *       18000000      //Bundle of Jewel of Soul 3
//6180      *       *       4000000       //Wings of Storm
//6181      *       *       4000000       //Wings of Eternal
//6182      *       *       4000000       //Wings of Illusion
//6183      *       *       4000000       //Wings of Ruin
//6184      *       *       4000000       //Cape of Emperor
//6185      *       *       800000        //Wings of Curse
//6186      *       *       2000000       //Wings of Despair
//6187      *       *       4000000       //Wings of Dimension
6659      *       0       9600          //Horn of Dinorant
6659      *       1       12600         //Horn of Dinorant
6659      *       2       12600         //Horn of Dinorant
6659      *       4       12600         //Horn of Dinorant
6659      *       3       15600         //Horn of Dinorant
6659      *       5       15600         //Horn of Dinorant
6659      *       6       15600         //Horn of Dinorant
6663      0       *       15000         //Contract (Summon)
6663      1       *       12000         //Contract (Summon)
6667      1       *       24000         //Order (Guardian/Life Stone)
6670      0       *       1800          //Loch's Feather
6670      1       *       75000         //Crest of Monarch
6671      *       *       330000        //Fruits
6672      1       *       150           //Scroll of Archangel 1
6672      2       *       210           //Scroll of Archangel 2
6672      3       *       300           //Scroll of Archangel 3
6672      4       *       390           //Scroll of Archangel 4
6672      5       *       480           //Scroll of Archangel 5
6672      6       *       600           //Scroll of Archangel 6
6672      7       *       750           //Scroll of Archangel 7
6672      8       *       900           //Scroll of Archangel 8
6673      1       *       150           //Blood Bone 1
6673      2       *       210           //Blood Bone 2
6673      3       *       300           //Blood Bone 3
6673      4       *       390           //Blood Bone 4
6673      5       *       480           //Blood Bone 5
6673      6       *       600           //Blood Bone 6
6673      7       *       750           //Blood Bone 7
6673      8       *       900           //Blood Bone 8
6674      1       *       1500          //Invisibility Cloak 1
6674      2       *       6600          //Invisibility Cloak 2
6674      3       *       7200          //Invisibility Cloak 3
6674      4       *       7800          //Invisibility Cloak 4
6674      5       *       8400          //Invisibility Cloak 5
6674      6       *       9000          //Invisibility Cloak 6
6674      7       *       9600          //Invisibility Cloak 7
6674      8       *       10200         //Invisibility Cloak 8
6676      0       *       3000          //Wizards Ring
6685      *       *       100           //Armor of Guardsman
6687      0       *       300000        //Spirit
6687      1       *       150000        //Spirit
6688      *       *       15            //Splinter of Armor
6689      *       *       30            //Bless of Guardian
6690      *       *       300           //Claw of Beast
6691      *       *       3000          //Fragment of Horn
6692      *       *       9000          //Broken Horn
6693      *       *       15000         //Horn of Fenrir
6694      *       *       930           //Moonstone Pendant
6705      1       *       5000          //Old Scroll 1
6705      2       *       6000          //Old Scroll 2
6705      3       *       8000          //Old Scroll 3
6705      4       *       10000         //Old Scroll 4
6705      5       *       12000         //Old Scroll 5
6705      6       *       14000         //Old Scroll 6
6706      1       *       5000          //Illusion Sorcerer Covenant 1
6706      2       *       6000          //Illusion Sorcerer Covenant 2
6706      3       *       8000          //Illusion Sorcerer Covenant 3
6706      4       *       10000         //Illusion Sorcerer Covenant 4
6706      5       *       12000         //Illusion Sorcerer Covenant 5
6706      6       *       14000         //Illusion Sorcerer Covenant 6
6707      1       *       5000          //Scroll of Blood 1
6707      2       *       6000          //Scroll of Blood 2
6707      3       *       8000          //Scroll of Blood 3
6707      4       *       10000         //Scroll of Blood 4
6707      5       *       12000         //Scroll of Blood 5
6707      6       *       14000         //Scroll of Blood 6
6708      *       *       30000         //Condor Flame
